name,sector,founded_year,shutdown_year,funding_usd_mn,primary_cause,city,source_year_report
Anar,Enterprise SaaS,2020,2023,6.2,No PMF / Low Retention,Bengaluru,2023
Belora Cosmetics,D2C Consumer,2019,2023,,Funding Crunch,Delhi NCR,2023
Bluepad,Media & Content,2020,2023,0.22,No PMF / Weak Monetisation,Bengaluru,2023
ConnectedH,Healthtech,2018,2023,2.5,No PMF / Market Fit,Bengaluru,2023
DUX Education,Edtech,2020,2023,0.24,Funding Crunch,Bengaluru,2023
Fantok,Gaming & RMG,2022,2023,,Regulatory (GST),Gurugram,2023
Fipola,D2C Consumer,2016,2023,3.0,Funding Crunch,Chennai,2023
Friyey,Consumer Services,2019,2023,,Cash Burn / Low Traction,Pune,2023
FrontRow,Edtech,2020,2023,17.0,No PMF / Cash Burn,Bengaluru,2023
OSlash,Enterprise SaaS,2020,2023,7.5,No PMF / Low Traction,Bengaluru,2023
Pillow,Web3 & Crypto,2021,2023,21.0,Regulatory (Crypto Tax),Bengaluru,2023
Quizy,Gaming & RMG,2021,2023,0.32,Regulatory (GST/TDS),Delhi NCR,2023
Tiki,Media & Content,2021,2023,3.63,Funding Crunch / Competition,Bengaluru,2023
Vah Vah!,Edtech,2020,2023,2.0,Cash Burn / Weak Unit Economics,Bengaluru,2023
WeTrade,Web3 & Crypto,2022,2023,1.8,Regulatory (Crypto Winter),Bengaluru,2023
Bluelearn,Edtech,2021,2024,3.95,No PMF / Could Not Scale,Bengaluru,2024
GoldPe,Fintech,2023,2024,0.085,Cash Burn / Flawed Biz Model,Ahmedabad,2024
Greenikk,Agritech,2020,2024,1.0,No PMF / Mounting Losses,Bengaluru,2024
InsurStaq.ai,AI & Enterprise,2022,2024,,Scaling Struggles,Delhi NCR,2024
Investmint,Fintech,2022,2024,2.0,Business Model Challenges,Bengaluru,2024
Kenko Health,Healthtech,2019,2024,13.7,Funding Crunch / Regulatory,Bengaluru,2024
Koo,Media & Content,2020,2024,50.0,Funding Crunch / Failed Acquisition,Bengaluru,2024
Muvin,Fintech,2021,2024,4.0,Regulatory (RBI UPI Ban),Bengaluru,2024
My Tirth India,Travel Tech,2019,2024,1.0,Funding Crunch,Delhi NCR,2024
Nintee,Healthtech,2022,2024,3.0,No PMF / Retention,Bengaluru,2024
Stoa,Edtech,2020,2024,1.5,Failed To Scale Offline,Bengaluru,2024
Toplyne,Enterprise SaaS,2021,2024,17.5,No PMF / Failed To Scale,Bengaluru,2024
Altigreen,EV & Mobility,2013,2025,40.0,Cash Burn / Liabilities,Bengaluru,2025
ANS Commerce,Enterprise SaaS,2017,2025,,Acquirer Wind-Down,Bengaluru,2025
Astra,AI & Enterprise,2023,2025,,Founder Conflict,Bengaluru,2025
Beepkart,Ecommerce Marketplace,2021,2025,20.0,Thin Margins / High Opex,Bengaluru,2025
BharatAgri,Agritech,2017,2025,,Funding Crunch,Pune,2025
Blip,Quick Commerce,2024,2025,,Lack Of Capital To Expand,Bengaluru,2025
BluSmart,EV & Mobility,2019,2025,,Founder Fraud / Insolvency,Delhi NCR,2025
CodeParrot,Enterprise SaaS,2022,2025,0.5,Cash Burn / No Follow-On,Bengaluru,2025
CrickPe,Gaming & RMG,2023,2025,,Regulatory (RMG Ban/GST),Delhi NCR,2025
GenWise,Healthtech,2023,2025,,Lack Of Traction,Bengaluru,2025
Hike,Gaming & RMG,2012,2025,,Regulatory (RMG Ban),Delhi NCR,2025
leap.club,Consumer Community,2020,2025,2.3,High CAC / Retention,Bengaluru,2025
Log9 Materials,EV & Deeptech,2015,2025,60.0,High Debt / Tech Missteps,Bengaluru,2025
Niro,Fintech,2021,2025,20.0,Regulatory / Credit Quality,Bengaluru,2025
O'Be Cocktails,D2C Consumer,2019,2025,,Commoditised Market,Bengaluru,2025
Ohm Mobility,EV & Mobility,2020,2025,,Multiple Failed Pivots,Delhi NCR,2025
Otipy,Agritech,2020,2025,,Cash Burn / Funding Crunch,Delhi NCR,2025
Plus Gold,Fintech,2022,2025,1.2,Weak Unit Economics,Bengaluru,2025
subtl.ai,AI & Enterprise,2019,2025,0.2,Funding Crunch,Bengaluru,2025
Wherehouse.io,Logistics & Supply Chain,2021,2025,,Legal Turmoil,Delhi NCR,2025
Zing,Quick Commerce,2024,2025,,Overestimated Demand,Delhi NCR,2025
Zoplar,Healthtech,2022,2025,3.4,Regulatory (CDSCO Ban),Delhi NCR,2025
Builder.ai,AI & Enterprise,2016,2025,450.0,Insolvency / Creditor Seizure,Bengaluru,2025
Dunzo,Quick Commerce,2015,2025,240.0,Cash Burn / Competition,Bengaluru,2025
Good Glamm Group,D2C Ecommerce,2015,2025,,Failed Expansion / Integration,Mumbai,2025
